epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.419,2.09796,4.49255,1.26138,0.00838,0.06962,0.01697,0.00933,2.22305,4.48372,1.06785,0.000190235,0.000190235,0.000190235
2,289.319,2.20126,3.92606,1.11955,0.02519,0.13756,0.05113,0.02837,2.1559,4.09906,1.04572,0.000383049,0.000383049,0.000383049
3,423.802,2.27673,3.36224,1.0989,0.03709,0.18608,0.06693,0.03775,2.21852,3.54255,1.04299,0.000572628,0.000572628,0.000572628
4,565.518,2.28202,2.93793,1.07504,0.72341,0.08734,0.09373,0.05061,2.17167,2.53193,1.03439,0.000573447,0.000573447,0.000573447
5,720.792,2.21704,2.54981,1.06172,0.57058,0.11149,0.09586,0.05157,2.15251,2.20067,1.03224,0.000568596,0.000568596,0.000568596
6,862.028,2.17488,2.29668,1.05247,0.50615,0.1424,0.11851,0.06523,2.10098,2.10233,1.04468,0.000563745,0.000563745,0.000563745
7,1006.58,2.09947,2.11501,1.03576,0.44179,0.15505,0.12572,0.07329,2.03851,2.04989,1.02006,0.000558894,0.000558894,0.000558894
8,1144.76,2.109,2.02234,1.04274,0.51067,0.17701,0.15216,0.08233,2.12973,1.97239,1.03668,0.000554043,0.000554043,0.000554043
9,1288.47,2.05805,1.91081,1.02233,0.51454,0.21921,0.17207,0.10269,1.97957,1.81924,1.01832,0.000549192,0.000549192,0.000549192
10,1425.57,2.00963,1.86146,1.01561,0.52867,0.20323,0.18267,0.1096,1.95847,1.77096,1.00234,0.000544341,0.000544341,0.000544341
11,1569.35,1.98314,1.76792,1.01072,0.55842,0.23429,0.21054,0.1281,1.9615,1.69894,1.01123,0.00053949,0.00053949,0.00053949
12,1711.96,1.93986,1.74676,1.00252,0.51721,0.24054,0.19485,0.1164,1.92876,1.72338,1.01975,0.000534639,0.000534639,0.000534639
13,1854.57,1.95389,1.70047,1.00528,0.56337,0.23928,0.22449,0.13709,1.90384,1.63038,0.99192,0.000529788,0.000529788,0.000529788
14,2001.58,1.89425,1.64981,0.99557,0.60839,0.21403,0.23945,0.1472,1.88913,1.63334,0.99252,0.000524937,0.000524937,0.000524937
15,2141.99,1.92534,1.64357,0.99654,0.63088,0.22621,0.25301,0.15726,1.87253,1.59589,0.98908,0.000520086,0.000520086,0.000520086
16,2286.04,1.88703,1.61106,0.99531,0.64701,0.23083,0.26208,0.1636,1.84494,1.58209,0.98114,0.000515235,0.000515235,0.000515235
17,2428.87,1.85364,1.55369,0.98955,0.59237,0.25958,0.26943,0.172,1.81123,1.53742,0.98103,0.000510384,0.000510384,0.000510384
18,2568.9,1.85741,1.55837,0.99008,0.52809,0.29513,0.29099,0.18129,1.82541,1.48969,0.98161,0.000505533,0.000505533,0.000505533
19,2715.51,1.85042,1.52885,0.97954,0.50486,0.25836,0.28478,0.18437,1.77824,1.5001,0.96668,0.000500682,0.000500682,0.000500682
20,2855.78,1.83004,1.52518,0.98629,0.45761,0.28584,0.29706,0.18975,1.78557,1.48205,0.97955,0.000495831,0.000495831,0.000495831
21,2987.74,1.81992,1.48624,0.96986,0.52312,0.29033,0.2933,0.18725,1.78403,1.51836,0.9671,0.00049098,0.00049098,0.00049098
22,3135.19,1.81501,1.46436,0.96886,0.56054,0.2838,0.31627,0.201,1.78423,1.41654,0.97096,0.000486129,0.000486129,0.000486129
23,3276.23,1.77681,1.44857,0.96668,0.46282,0.29767,0.31239,0.20461,1.72653,1.40173,0.96736,0.000481278,0.000481278,0.000481278
24,3417.72,1.77766,1.42957,0.96883,0.49798,0.29089,0.32464,0.19141,1.87255,1.42764,0.98295,0.000476427,0.000476427,0.000476427
25,3564.13,1.7686,1.40757,0.96396,0.56179,0.28828,0.33206,0.21439,1.75748,1.41708,0.96332,0.000471576,0.000471576,0.000471576
26,3716.47,1.78272,1.40593,0.96461,0.70506,0.28036,0.33985,0.21966,1.72936,1.39351,0.96206,0.000466725,0.000466725,0.000466725
27,3862.07,1.75382,1.39013,0.95844,0.53302,0.31896,0.34928,0.22331,1.76807,1.3656,0.96189,0.000461874,0.000461874,0.000461874
28,4008.74,1.78782,1.40407,0.96286,0.46401,0.31779,0.35167,0.22673,1.72667,1.36109,0.95269,0.000457023,0.000457023,0.000457023
29,4151.96,1.75415,1.36971,0.96427,0.51998,0.33288,0.35057,0.21511,1.73532,1.35405,0.95794,0.000452172,0.000452172,0.000452172
30,4290.46,1.77525,1.34608,0.96209,0.48669,0.35107,0.38629,0.2423,1.75774,1.33004,0.96406,0.000447321,0.000447321,0.000447321
31,4441.07,1.72956,1.31754,0.95411,0.4894,0.36851,0.39881,0.26335,1.67367,1.27985,0.94783,0.00044247,0.00044247,0.00044247
32,4587.66,1.71346,1.30413,0.95334,0.49737,0.39115,0.40142,0.26327,1.67805,1.27468,0.94134,0.000437619,0.000437619,0.000437619
33,4735.85,1.6923,1.28307,0.947,0.44368,0.37699,0.405,0.25927,1.68329,1.27543,0.94627,0.000432768,0.000432768,0.000432768
34,4876.52,1.71774,1.30977,0.94983,0.50637,0.37553,0.40317,0.26535,1.65059,1.28312,0.94328,0.000427917,0.000427917,0.000427917
35,5020.25,1.72645,1.3004,0.95308,0.61611,0.36861,0.41796,0.27621,1.658,1.25866,0.94269,0.000423066,0.000423066,0.000423066
36,5163.6,1.69861,1.28045,0.94628,0.57475,0.37858,0.42725,0.28284,1.64049,1.24276,0.93855,0.000418215,0.000418215,0.000418215
37,5304.59,1.67766,1.25626,0.93912,0.49354,0.40517,0.43208,0.28282,1.63839,1.24086,0.93701,0.000413364,0.000413364,0.000413364
38,5451.95,1.69916,1.24871,0.94489,0.63563,0.36077,0.43277,0.28269,1.62726,1.25627,0.93613,0.000408513,0.000408513,0.000408513
39,5597.45,1.67536,1.23999,0.93798,0.60572,0.37872,0.44032,0.29139,1.66789,1.22228,0.9378,0.000403662,0.000403662,0.000403662
40,5748.35,1.67515,1.23418,0.93845,0.65243,0.38953,0.44776,0.29703,1.63623,1.23621,0.93471,0.000398811,0.000398811,0.000398811
41,5894.04,1.64315,1.21599,0.93592,0.5712,0.40435,0.43996,0.28994,1.62853,1.24164,0.93629,0.00039396,0.00039396,0.00039396
42,6038.17,1.67017,1.22503,0.93766,0.53105,0.4121,0.45066,0.29858,1.64789,1.19805,0.93489,0.000389109,0.000389109,0.000389109
43,6183.19,1.67782,1.22392,0.9416,0.59695,0.3922,0.43622,0.28539,1.65071,1.22605,0.93388,0.000384258,0.000384258,0.000384258
44,6329.96,1.63633,1.21054,0.93515,0.59222,0.41978,0.46931,0.31207,1.606,1.16609,0.92658,0.000379407,0.000379407,0.000379407
45,6473.27,1.6811,1.21009,0.93349,0.51983,0.43332,0.45059,0.29269,1.62457,1.18706,0.9299,0.000374556,0.000374556,0.000374556
46,6617.16,1.637,1.17804,0.93044,0.57121,0.42206,0.456,0.29853,1.61526,1.17305,0.92834,0.000369705,0.000369705,0.000369705
47,6763.16,1.6419,1.18695,0.9315,0.5901,0.42421,0.46675,0.31573,1.58336,1.19919,0.92352,0.000364854,0.000364854,0.000364854
48,6905.9,1.59128,1.14856,0.92573,0.5594,0.44378,0.46302,0.30352,1.60121,1.19436,0.92491,0.000360003,0.000360003,0.000360003
49,7049.79,1.64784,1.18061,0.92958,0.64079,0.43965,0.47654,0.32109,1.59424,1.16654,0.92566,0.000355152,0.000355152,0.000355152
50,7189.51,1.65412,1.17768,0.93459,0.59647,0.40998,0.4477,0.29206,1.69612,1.20151,0.93818,0.000350301,0.000350301,0.000350301
51,7331.45,1.61574,1.16226,0.93217,0.59547,0.44883,0.48348,0.32082,1.61938,1.14251,0.92587,0.00034545,0.00034545,0.00034545
52,7471.89,1.63413,1.16242,0.93094,0.63869,0.44482,0.49384,0.33215,1.61019,1.15245,0.9274,0.000340599,0.000340599,0.000340599
53,7617.57,1.60645,1.13734,0.92468,0.51137,0.46025,0.48891,0.33298,1.55602,1.14532,0.9181,0.000335748,0.000335748,0.000335748
54,7767.87,1.61527,1.13089,0.92466,0.5641,0.45431,0.49652,0.33829,1.57322,1.14463,0.92251,0.000330897,0.000330897,0.000330897
55,7916.18,1.61573,1.13428,0.92601,0.63169,0.44519,0.49917,0.34203,1.58277,1.12872,0.91969,0.000326046,0.000326046,0.000326046
56,8055.37,1.60876,1.12778,0.92134,0.6176,0.46205,0.50505,0.34019,1.58133,1.10432,0.9201,0.000321195,0.000321195,0.000321195
57,8203.73,1.62544,1.13006,0.92366,0.61367,0.47909,0.51743,0.35024,1.5573,1.11368,0.916,0.000316344,0.000316344,0.000316344
58,8346.48,1.60877,1.11735,0.92754,0.62816,0.47714,0.5304,0.36508,1.54802,1.09587,0.91622,0.000311493,0.000311493,0.000311493
59,8486.09,1.5653,1.10625,0.91875,0.60861,0.46114,0.51379,0.34801,1.55259,1.12372,0.91675,0.000306642,0.000306642,0.000306642
60,8623.7,1.57028,1.10502,0.91941,0.6209,0.50014,0.54237,0.36809,1.53132,1.06468,0.91536,0.000301791,0.000301791,0.000301791
61,8765.46,1.58556,1.10977,0.92304,0.65552,0.47788,0.5279,0.35556,1.55596,1.07648,0.91644,0.00029694,0.00029694,0.00029694
62,8908.04,1.58036,1.098,0.91661,0.62118,0.49106,0.53614,0.36196,1.57812,1.09062,0.92039,0.000292089,0.000292089,0.000292089
63,9055.94,1.55185,1.07852,0.91359,0.62443,0.47581,0.52802,0.34708,1.61842,1.09156,0.92726,0.000287238,0.000287238,0.000287238
64,9199.41,1.54508,1.07433,0.91361,0.59772,0.47981,0.5316,0.36247,1.53411,1.09814,0.91278,0.000282387,0.000282387,0.000282387
65,9349.21,1.59652,1.10069,0.91931,0.61756,0.47452,0.53213,0.36042,1.55629,1.06745,0.91573,0.000277536,0.000277536,0.000277536
66,9493.34,1.56245,1.08115,0.91358,0.67139,0.47686,0.54584,0.36397,1.52752,1.06881,0.91216,0.000272685,0.000272685,0.000272685
67,9635.93,1.56314,1.07125,0.9147,0.66977,0.48524,0.53895,0.36657,1.51449,1.05879,0.90967,0.000267834,0.000267834,0.000267834
68,9776.4,1.58008,1.0913,0.91507,0.66887,0.47183,0.54309,0.36842,1.53752,1.09257,0.91202,0.000262983,0.000262983,0.000262983
69,9937.15,1.53882,1.05187,0.90948,0.69314,0.50204,0.55722,0.37344,1.51949,1.03735,0.90944,0.000258132,0.000258132,0.000258132
70,10083.5,1.54443,1.05621,0.90983,0.64228,0.48287,0.54098,0.36521,1.54474,1.07322,0.91556,0.000253281,0.000253281,0.000253281
71,10233.2,1.55927,1.06005,0.90997,0.72246,0.47577,0.54423,0.37727,1.5231,1.05519,0.9115,0.00024843,0.00024843,0.00024843
72,10380.5,1.54873,1.06123,0.9211,0.69097,0.50086,0.56262,0.38618,1.50267,1.04019,0.90839,0.000243579,0.000243579,0.000243579
73,10522,1.54813,1.05195,0.91078,0.71123,0.49211,0.56415,0.38423,1.5218,1.04803,0.90962,0.000238728,0.000238728,0.000238728
74,10666,1.53625,1.03875,0.90953,0.7262,0.47983,0.56088,0.38724,1.53124,1.05235,0.91255,0.000233877,0.000233877,0.000233877
75,10813.5,1.57121,1.06427,0.90982,0.71616,0.49103,0.56321,0.38625,1.53294,1.04613,0.90916,0.000229026,0.000229026,0.000229026
76,10947.2,1.53703,1.04299,0.90781,0.72862,0.50534,0.57592,0.39378,1.51296,1.02798,0.90792,0.000224175,0.000224175,0.000224175
77,11103.8,1.52972,1.03226,0.90712,0.72018,0.48714,0.56117,0.37847,1.53024,1.0354,0.91103,0.000219324,0.000219324,0.000219324
78,11245.6,1.53962,1.03357,0.91042,0.69755,0.47886,0.56118,0.38378,1.5447,1.0378,0.91328,0.000214473,0.000214473,0.000214473
79,11391.6,1.51614,1.02599,0.90219,0.64485,0.50768,0.56141,0.38264,1.53651,1.03377,0.91028,0.000209622,0.000209622,0.000209622
80,11529.9,1.5274,1.02987,0.9093,0.71009,0.4921,0.55752,0.36544,1.60937,1.04836,0.92244,0.000204771,0.000204771,0.000204771
81,11669.3,1.53401,1.03868,0.91139,0.66888,0.50933,0.56779,0.3899,1.51245,1.02053,0.9069,0.00019992,0.00019992,0.00019992
82,11806.2,1.48279,0.99234,0.90222,0.72481,0.48814,0.56944,0.3865,1.53486,1.0299,0.91139,0.000195069,0.000195069,0.000195069
83,11947.1,1.49718,1.00775,0.90719,0.68834,0.54352,0.59588,0.41193,1.47874,0.99528,0.90359,0.000190218,0.000190218,0.000190218
84,12088,1.50897,1.00971,0.89884,0.72374,0.52791,0.58618,0.40975,1.48224,1.00358,0.90492,0.000185367,0.000185367,0.000185367
85,12229.6,1.4994,1.01615,0.90514,0.69273,0.52817,0.58848,0.41292,1.46058,0.99253,0.90066,0.000180516,0.000180516,0.000180516
86,12371.6,1.50171,1.00747,0.90139,0.73362,0.50241,0.58337,0.40628,1.52168,1.01127,0.90676,0.000175665,0.000175665,0.000175665
87,12515,1.50813,1.00732,0.90389,0.74745,0.50995,0.58582,0.40569,1.50265,0.98691,0.90482,0.000170814,0.000170814,0.000170814
88,12647.1,1.48339,0.99729,0.89894,0.72476,0.53338,0.60326,0.42334,1.45799,0.98487,0.89866,0.000165963,0.000165963,0.000165963
89,12792.6,1.48697,1.00687,0.90219,0.76722,0.52204,0.60203,0.42118,1.45652,0.99369,0.89839,0.000161112,0.000161112,0.000161112
90,12933.6,1.47666,0.98537,0.89872,0.72977,0.51642,0.5881,0.40393,1.48792,0.99264,0.90456,0.000156261,0.000156261,0.000156261
91,13077.2,1.47905,0.99124,0.89987,0.68278,0.53405,0.59046,0.40221,1.48192,0.99639,0.9041,0.00015141,0.00015141,0.00015141
92,13217.7,1.48349,0.98264,0.90002,0.65969,0.55176,0.59473,0.41275,1.48591,0.98392,0.90316,0.000146559,0.000146559,0.000146559
93,13367.2,1.48462,0.98236,0.89746,0.71674,0.53778,0.60449,0.42078,1.46377,0.98545,0.89929,0.000141708,0.000141708,0.000141708
94,13508,1.45519,0.97009,0.89673,0.71528,0.54456,0.60556,0.42558,1.45031,0.96935,0.89788,0.000136857,0.000136857,0.000136857
95,13649.2,1.4656,0.97661,0.89692,0.77445,0.51579,0.60439,0.4232,1.46519,0.96343,0.89877,0.000132006,0.000132006,0.000132006
96,13786.3,1.45031,0.96389,0.89538,0.71247,0.55131,0.61392,0.43126,1.44062,0.96245,0.89619,0.000127155,0.000127155,0.000127155
97,13937.5,1.49212,0.98969,0.9015,0.7575,0.51367,0.60204,0.40982,1.51027,0.97343,0.90661,0.000122304,0.000122304,0.000122304
98,14076.5,1.47409,0.98384,0.89601,0.73145,0.53467,0.60917,0.42018,1.47607,0.96337,0.9022,0.000117453,0.000117453,0.000117453
99,14215.7,1.45896,0.96709,0.89692,0.75746,0.53691,0.6132,0.4321,1.4401,0.96333,0.89437,0.000112602,0.000112602,0.000112602
100,14349.9,1.47205,0.96893,0.89645,0.7668,0.52476,0.61363,0.43402,1.43414,0.95552,0.89271,0.000107751,0.000107751,0.000107751
101,14489.4,1.47002,0.97546,0.89525,0.7547,0.5411,0.61808,0.43709,1.42267,0.94286,0.89294,0.0001029,0.0001029,0.0001029
102,14629.6,1.47035,0.95814,0.89559,0.7372,0.54378,0.61528,0.42274,1.47979,0.95712,0.89986,9.8049e-05,9.8049e-05,9.8049e-05
103,14768,1.44156,0.94749,0.89468,0.75535,0.52261,0.60724,0.42172,1.47947,0.95888,0.90011,9.3198e-05,9.3198e-05,9.3198e-05
104,14903.1,1.44572,0.95219,0.89441,0.72235,0.52857,0.60613,0.41385,1.49362,0.96776,0.90413,8.8347e-05,8.8347e-05,8.8347e-05
105,15050.8,1.45297,0.95415,0.89396,0.74538,0.54383,0.61066,0.43355,1.42596,0.9489,0.89264,8.3496e-05,8.3496e-05,8.3496e-05
106,15182.5,1.45222,0.96369,0.89059,0.73384,0.54749,0.61612,0.42752,1.4565,0.94662,0.8964,7.8645e-05,7.8645e-05,7.8645e-05
107,15325.7,1.44738,0.95768,0.89751,0.73756,0.54844,0.61942,0.43841,1.42341,0.94488,0.89211,7.3794e-05,7.3794e-05,7.3794e-05
108,15477.6,1.4481,0.95092,0.89078,0.70758,0.55344,0.61079,0.41981,1.47351,0.95052,0.8997,6.8943e-05,6.8943e-05,6.8943e-05
109,15625.8,1.45767,0.95885,0.89217,0.78121,0.53283,0.61516,0.42529,1.4545,0.9491,0.8969,6.4092e-05,6.4092e-05,6.4092e-05
110,15770.7,1.45628,0.95595,0.88943,0.77288,0.53973,0.61753,0.43305,1.44977,0.94602,0.8946,5.9241e-05,5.9241e-05,5.9241e-05
111,15883.9,1.46622,1.03934,0.89453,0.7809,0.53851,0.60795,0.42525,1.44933,0.96383,0.89554,5.439e-05,5.439e-05,5.439e-05
112,15994.1,1.45839,0.98869,0.89306,0.75821,0.52714,0.59647,0.41554,1.46311,0.97957,0.89641,4.9539e-05,4.9539e-05,4.9539e-05
113,16107.6,1.44762,0.97651,0.88731,0.72635,0.53171,0.60004,0.41322,1.47524,0.98828,0.90004,4.4688e-05,4.4688e-05,4.4688e-05
114,16215.9,1.44435,0.97144,0.88597,0.69419,0.54802,0.60331,0.41432,1.46972,0.98476,0.89968,3.9837e-05,3.9837e-05,3.9837e-05
115,16333.7,1.41406,0.9478,0.88335,0.73505,0.53796,0.6066,0.41893,1.4622,0.97618,0.89831,3.4986e-05,3.4986e-05,3.4986e-05
116,16445,1.42194,0.94791,0.88158,0.74931,0.53908,0.60842,0.42242,1.45897,0.97797,0.89762,3.0135e-05,3.0135e-05,3.0135e-05
117,16558.9,1.42021,0.94248,0.88222,0.74211,0.55141,0.61258,0.42465,1.44577,0.96771,0.89603,2.5284e-05,2.5284e-05,2.5284e-05
